"WorkOrder","OriginalName","OriginalPath","RepositoryPath","SHA256","Action"
"WO-004","add_wo004_kernel_documentation.ps1","<USER_PROFILE>\Downloads\AEGIS\add_wo004_kernel_documentation.ps1","tools\operations\WO-004\scripts\add_wo004_kernel_documentation.ps1","872646e59ba48d32788cc6dd1fddc2dd554223d8626035701d034e730514ffa7","MOVED; SANITIZED PUBLIC COPY"
"WO-004","close_wo004_post_publication.ps1","<USER_PROFILE>\Downloads\AEGIS\close_wo004_post_publication.ps1","tools\operations\WO-004\scripts\close_wo004_post_publication.ps1","aabb800c84fb8fb969be50428159e4f9d16b945beb203323b83114a4c6dadf38","MOVED; SANITIZED PUBLIC COPY"
"WO-004","create_wo004_governance_draft.ps1","<USER_PROFILE>\Downloads\AEGIS\create_wo004_governance_draft.ps1","tools\operations\WO-004\scripts\create_wo004_governance_draft.ps1","a382d81e2dde012d43d76aa603c34839393c4fbddea355f3f94b6584e5050a5e","MOVED; SANITIZED PUBLIC COPY"
"WO-004","validate_wo004_current_environment.ps1","<USER_PROFILE>\Downloads\AEGIS\validate_wo004_current_environment.ps1","tools\operations\WO-004\scripts\validate_wo004_current_environment.ps1","0b0d1736618bb7223c69756e2e44ddad36297f4b9ccbe8ab305952d73121e8f1","MOVED; SANITIZED PUBLIC COPY"
"WO-005","amend_wo005_preexisting_specification.ps1","<USER_PROFILE>\Downloads\AEGIS\amend_wo005_preexisting_specification.ps1","tools\operations\WO-005\scripts\amend_wo005_preexisting_specification.ps1","aac7ee42cfe9cc3d255686390294002bf1614f137f12cefcd08a41728da1dbe1","IDENTICAL DUPLICATE REMOVED FROM DOWNLOADS; SANITIZED PUBLIC COPY"
"WO-005","authorize_wo005_environment_interaction_specification.ps1","<USER_PROFILE>\Downloads\AEGIS\authorize_wo005_environment_interaction_specification.ps1","tools\operations\WO-005\scripts\authorize_wo005_environment_interaction_specification.ps1","49d89b08b7b3fe2302cd2bc62f4fc36d7697abd9333581473288c1db1d676d78","IDENTICAL DUPLICATE REMOVED FROM DOWNLOADS; SANITIZED PUBLIC COPY"
"WO-005","authorize_wo005_environment_interaction_specification_v2.ps1","<USER_PROFILE>\Downloads\AEGIS\authorize_wo005_environment_interaction_specification_v2.ps1","tools\operations\WO-005\scripts\authorize_wo005_environment_interaction_specification_v2.ps1","7a86a22537d860786dcae279ebe1266746418b07051e81ac5634764ea146f9d1","IDENTICAL DUPLICATE REMOVED FROM DOWNLOADS; SANITIZED PUBLIC COPY"
"WO-005","close_wo005_after_publication.ps1","<USER_PROFILE>\Downloads\AEGIS\close_wo005_after_publication.ps1","tools\operations\WO-005\scripts\close_wo005_after_publication.ps1","b59094753c97f6f16a0122771f5be286ff231349eb878f2e1db07e3585317dd9","IDENTICAL DUPLICATE REMOVED FROM DOWNLOADS; SANITIZED PUBLIC COPY"
"WO-005","create_and_designate_wo005_accepted_candidate.ps1","<USER_PROFILE>\Downloads\AEGIS\create_and_designate_wo005_accepted_candidate.ps1","tools\operations\WO-005\scripts\create_and_designate_wo005_accepted_candidate.ps1","779ac81af9ce61fb19024b02b40082eb16bd01ef75434c1bf6ec6436c01f531a","IDENTICAL DUPLICATE REMOVED FROM DOWNLOADS; SANITIZED PUBLIC COPY"
"WO-005","create_and_designate_wo005_candidate_v3.ps1","<USER_PROFILE>\Downloads\AEGIS\create_and_designate_wo005_candidate_v3.ps1","tools\operations\WO-005\scripts\create_and_designate_wo005_candidate_v3.ps1","6a0df81960584934eaedadc96d9527df6c990da6855971c512209d25b5b45621","IDENTICAL DUPLICATE REMOVED FROM DOWNLOADS; SANITIZED PUBLIC COPY"
